TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionSpan,Outlier_Attempts,AgeGroup,Target
52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,516.0,0,31-40,0
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,1.0,1402.5,551.0,1,18-30,0
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,612.0,0,18-30,1
7.49,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,380.0,0,60+,2
246.93,Debit,Miami,ATM,23.0,Student,158.0,1.0,673.3499999999999,566.0,1,18-30,0
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,585.0,0,31-40,1
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,649.0,0,41-50,0
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,409.99999999999994,0,18-30,2
28.31,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,475.0,0,51-60,1
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,636.0,0,18-30,2
396.45,Debit,New York,ATM,49.0,Engineer,168.00000000000003,1.0,9690.15,405.0,1,41-50,0
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,601.0,0,18-30,3
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.00000000000001,1.0,14815.87,373.0,0,41-50,1
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,384.0,0,41-50,1
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,348.0,0,18-30,0
649.28,Debit,San Jose,ATM,75.0,Retired,137.0,1.0,4875.86,612.0,1,60+,3
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,1.0,7914.879999999999,387.99999999999994,1,60+,3
335.63,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1.0,1019.39,649.0,0,51-60,2
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,461.0,0,60+,0
34.02,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,664.0,0,31-40,1
241.42000000000002,Credit,Charlotte,Online,57.0,Doctor,116.00000000000001,1.0,13357.02,563.0,0,51-60,0
55.32,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79000000000002,571.0,0,18-30,0
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,466.0,0,18-30,1
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,396.0,0,60+,3
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,326.0,0,18-30,1
510.23999999999995,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,391.00000000000006,0,18-30,3
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,342.0,0,18-30,3
22.01,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,587.0,0,41-50,0
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.5399999999995,629.0,0,60+,3
424.56,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,485.0,0,51-60,2
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,515.0,0,60+,0
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8799999999999,423.0,0,18-30,0
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,585.0,0,60+,1
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,457.00000000000006,0,18-30,1
60.540000000000006,Credit,Columbus,Branch,57.0,Retired,52.00000000000001,1.0,3534.93,325.0,0,51-60,1
292.56,Credit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,611.0,0,60+,1
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,513.0,0,41-50,1
112.07,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,1.0,930.3,398.0,0,18-30,1
568.52,Debit,Indianapolis,ATM,46.0,Engineer,151.99999999999997,1.0,5499.91,485.0,0,41-50,3
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,1.0,4175.02,537.0,1,60+,2
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,362.0,0,41-50,2
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,523.0,0,51-60,3
5.77,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,366.99999999999994,0,41-50,0
201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,585.0,0,41-50,0
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,558.0,0,51-60,2
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,565.0,0,18-30,3
117.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,633.0,0,51-60,1
189.12,Credit,Indianapolis,,32.0,Engineer,103.0,1.0,977.01,356.0,0,31-40,0
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,474.0,0,41-50,2
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,660.0,0,31-40,0
24.77,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,488.0,0,60+,1
233.92,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,380.0,0,18-30,2
211.36,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999999,396.0,0,18-30,1
232.12,Debit,,ATM,37.0,Engineer,51.00000000000001,1.0,6689.87,311.0,0,31-40,1
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,601.0,0,41-50,1
120.29,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,321.0,0,18-30,1
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,475.0,0,41-50,1
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,503.00000000000006,0,31-40,0
345.39,Credit,Phoenix,,58.0,Engineer,80.0,1.0,6451.96,485.0,0,51-60,1
211.36,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,650.0,0,60+,1
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,363.0,0,41-50,0
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,489.0,0,31-40,0
211.36,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,401.0,0,51-60,1
24.56,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,380.0,0,60+,1
568.07,,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,432.99999999999994,0,41-50,3
9.61,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,499.99999999999994,0,51-60,0
392.96,Debit,Kansas City,Online,24.0,Student,100.00000000000001,1.0,791.65,349.0,0,18-30,3
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,416.0,0,51-60,3
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,1.0,2929.91,398.0,1,51-60,1
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,587.0,0,18-30,0
442.12,Debit,Los Angeles,Online,19.0,Student,260.0,1.0,1375.8,318.0,1,18-30,2
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,612.0,0,18-30,3
508.67999999999995,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,496.0,0,51-60,3
858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,565.0,0,18-30,3
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,475.0,0,51-60,1
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,429.0,0,60+,0
115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,419.0,0,31-40,0
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,649.0,0,18-30,1
98.54,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,450.0,0,18-30,0
83.24,,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,384.0,0,51-60,0
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,618.0,0,18-30,0
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,671.0,0,31-40,2
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,339.0,0,41-50,1
114.98,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,368.00000000000006,0,51-60,1
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,608.0,0,18-30,3
503.76000000000005,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,342.0,0,18-30,1
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.450000000001,461.0,0,60+,0
211.36,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,347.0,0,51-60,1
245.54,,New York,ATM,25.0,Student,180.0,1.0,985.0600000000001,593.0,0,18-30,0
254.37000000000003,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,563.0,0,51-60,0
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,613.0,0,60+,2
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,632.0,0,31-40,3
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,471.0,0,41-50,0
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,391.00000000000006,0,60+,1
56.98,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,1.0,5688.37,307.0,1,41-50,0
407.65,Debit,Boston,Online,26.0,Engineer,61.99999999999999,1.0,8346.64,485.0,0,18-30,1
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,531.0,0,31-40,0
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,445.0,0,60+,0
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,352.0,0,41-50,0
317.87,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,485.0,0,18-30,3
331.65,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,436.00000000000006,0,41-50,1
5.04,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,342.0,0,51-60,1
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,457.00000000000006,0,60+,2
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,426.0,0,51-60,3
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,452.0,0,18-30,3
38.15,Debit,Mesa,Online,26.0,Student,107.99999999999999,1.0,303.68,423.0,0,18-30,0
211.36,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,481.00000000000006,0,51-60,0
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,489.0,0,31-40,0
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,405.0,0,60+,1
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,349.0,0,41-50,2
5.77,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,352.0,0,18-30,2
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,440.0,0,51-60,1
16.16,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,384.0,0,41-50,0
486.0799999999999,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1.0,1748.69,502.00000000000006,0,<18,3
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,657.0,0,18-30,1
211.36,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,347.0,0,60+,0
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,429.0,0,18-30,0
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,377.0,0,18-30,2
211.36,Debit,Detroit,ATM,80.0,Retired,21.000000000000004,1.0,2037.85,377.0,0,60+,1
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,489.0,0,<18,2
233.74,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,376.0,0,60+,1
45.85,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1.0,1659.15,626.0,0,18-30,1
211.36,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.22,430.99999999999994,0,60+,2
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,464.0,0,60+,0
265.76,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,1.0,4446.17,636.0,0,51-60,1
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,468.0,0,60+,0
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,349.0,0,31-40,2
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,391.00000000000006,0,18-30,0
496.0299999999999,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,365.99999999999994,0,60+,2
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,627.0,0,31-40,2
83.02,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,426.0,0,31-40,0
93.26,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,465.0,0,18-30,1
803.37,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,566.0,0,60+,3
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999999,410.99999999999994,0,18-30,0
28.53,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,522.0,0,60+,0
139.53,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,391.00000000000006,0,51-60,0
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,664.0,0,31-40,2
60.650000000000006,Credit,Tucson,Branch,56.0,Retired,53.00000000000001,1.0,1047.28,527.0,0,51-60,1
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,447.0,0,60+,0
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,642.0,0,31-40,0
126.20999999999998,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,628.0,0,60+,2
506.28,Credit,Chicago,Online,53.0,Retired,162.0,1.0,1309.95,551.0,1,51-60,0
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,335.0,0,31-40,1
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,537.0,0,18-30,0
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,594.0,0,31-40,3
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,436.00000000000006,0,51-60,1
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,538.0,0,60+,1
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,524.0,0,18-30,1
169.47,Debit,Chicago,Online,24.0,Student,18.999999999999996,1.0,1806.16,592.0,0,18-30,1
73.23,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999999,534.0,0,18-30,1
211.36,Debit,El Paso,ATM,29.0,Engineer,106.0,1.0,2429.68,632.0,0,18-30,0
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,531.0,0,18-30,3
237.06,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1.0,1182.77,321.0,0,60+,1
34.17,Credit,Philadelphia,Online,54.0,Engineer,53.99999999999999,1.0,726.55,348.0,0,51-60,1
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,473.0,0,41-50,3
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,564.0,0,51-60,3
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,356.0,0,60+,3
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.3499999999997,576.0,0,18-30,2
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,670.0,0,51-60,2
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,643.0,0,51-60,3
211.36,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,424.0,0,60+,1
630.36,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,612.0,0,60+,3
10.94,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,377.0,0,51-60,2
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,669.0,0,31-40,2
211.36,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,482.0,0,60+,0
226.37,,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,412.00000000000006,0,41-50,0
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,419.0,0,41-50,3
280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,646.0,0,18-30,1
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,489.0,0,51-60,3
3.3,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,587.0,0,41-50,0
199.39,,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,440.0,0,60+,0
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,468.0,0,60+,1
113.64,Debit,Detroit,Online,65.0,Retired,32.0,1.0,6675.03,376.0,0,60+,1
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,461.0,0,51-60,2
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,510.0,0,18-30,1
11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,339.0,0,41-50,0
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,354.0,0,51-60,0
51.0,Debit,Seattle,Branch,64.0,Retired,107.0,1.0,4943.16,643.0,1,60+,0
140.98,Debit,Memphis,Branch,60.0,Engineer,100.00000000000001,1.0,8127.4800000000005,528.0,0,51-60,0
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,437.00000000000006,0,60+,1
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,107.99999999999999,1.0,9660.22,549.0,0,31-40,3
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,636.0,0,41-50,0
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,625.0,0,51-60,2
321.79,Credit,Raleigh,ATM,63.0,Retired,112.0,1.0,5959.2,453.99999999999994,0,60+,0
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,618.0,0,60+,0
432.08,,El Paso,ATM,40.0,Doctor,145.0,1.0,11500.62,461.0,0,31-40,0
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,332.0,0,60+,3
116.86,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,594.0,0,51-60,0
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.67,529.0,0,18-30,2
134.7,Debit,Fort Worth,ATM,50.0,Doctor,106.0,1.0,8395.85,440.0,1,41-50,0
890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,485.0,0,31-40,3
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,667.0,0,60+,0
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.00000000000001,1.0,5873.54,381.0,0,41-50,1
485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,341.0,0,60+,1
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,482.0,0,60+,3
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,496.0,0,18-30,1
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09,660.0,0,51-60,3
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,320.0,0,51-60,3
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,402.0,0,41-50,2
581.65,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.19000000000005,664.0,0,18-30,0
52.01,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.88,362.0,0,41-50,1
630.24,Debit,Boston,ATM,21.0,Student,61.99999999999999,1.0,370.81,340.0,0,18-30,3
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,366.99999999999994,0,41-50,0
705.6,Debit,Phoenix,Branch,40.0,Doctor,123.99999999999999,1.0,14804.7,622.0,1,31-40,3
217.5,Credit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,377.0,0,41-50,1
91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.779999999999,650.0,0,51-60,0
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,356.0,0,31-40,1
54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,410.99999999999994,0,51-60,0
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,342.0,0,41-50,3
368.91,,Virginia Beach,Branch,54.0,Doctor,14.0,1.0,829.7099999999999,604.0,0,51-60,1
33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,656.0,0,51-60,0
66.5,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,549.0,0,31-40,0
177.08,Debit,Las Vegas,,35.0,Doctor,85.0,1.0,13475.14,667.0,0,31-40,1
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999999,636.0,0,31-40,3
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.91,377.0,0,18-30,2
78.33,Credit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,461.0,0,51-60,0
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.84,307.0,0,51-60,0
97.22,Credit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,622.0,0,60+,1
34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,363.0,0,18-30,1
492.06000000000006,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.9,381.0,0,18-30,3
842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.45000000000005,418.0,0,51-60,3
73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,664.0,0,51-60,0
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,426.0,0,51-60,3
273.08,Credit,Houston,Branch,42.0,Engineer,134.0,1.0,6609.3,643.0,0,41-50,0
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,317.0,0,60+,0
218.96,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,430.99999999999994,0,<18,1
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.09,314.0,0,<18,1
237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,545.0,0,31-40,1
186.6,Debit,,Online,58.0,Doctor,13.0,1.0,1508.72,488.0,0,51-60,1
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.36999999999995,629.0,0,<18,0
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,424.0,0,51-60,2
312.88,Credit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21,527.0,0,51-60,1
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.92,412.00000000000006,0,18-30,0
23.3,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,447.0,0,51-60,0
47.38,Credit,Seattle,Online,25.0,Student,61.00000000000001,1.0,459.37,634.0,0,18-30,1
512.81,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,473.0,0,60+,1
488.15000000000003,Debit,Louisville,Branch,43.0,Engineer,168.00000000000003,1.0,7071.09,461.0,0,41-50,0
12.82,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,578.0,0,41-50,0
66.9,Credit,Charlotte,Online,79.0,Retired,129.0,1.0,5238.71,566.0,1,60+,0
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,485.0,0,41-50,1
270.72,Credit,Washington,Online,26.0,Engineer,53.00000000000001,1.0,6263.96,489.0,0,18-30,1
97.98,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.329999999999,636.0,0,60+,1
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,436.00000000000006,0,60+,1
251.18000000000004,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,521.0,0,41-50,2
44.52,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.28,586.0,0,18-30,2
